CD-GEOID,TRACT-GEOID,area-cartesian,percent-overlap
1198,11001010900,0.000540371,0.980062842
1198,11001007708,8.89E-05,1
1198,11001007806,7.15E-05,1
1198,11001004002,2.04E-05,1
1198,11001004901,2.82E-05,1
1198,11001004100,8.49E-05,1
1198,11001007409,4.13E-05,1
1198,11001008802,4.90E-05,1
1198,11001007605,4.71E-05,1
6098,60050951600,0.001991946,0.18612508
1198,11001004300,2.46E-05,1
1198,11001007403,3.38E-05,1
1198,11001004001,2.87E-05,1
1198,11001009902,0.000134379,1
6098,60010950500,0.000326804,0.551422943
1198,11001010400,0.000283798,1
6098,60010950600,0.000785349,0.271475173
6098,60050951500,0.001544905,0.615111567
1198,11001011100,0.00062932,1
1198,11001005600,4.93E-05,1
6098,60010950700,0.000334547,0.611325163
6098,60010950900,0.001208758,0.207576927
1198,11001007709,9.60E-05,1
1198,11001005800,9.46E-05,1
1198,11001004400,5.42E-05,1
6098,60050951000,0.000424854,1
1198,11001000300,0.000106186,1
6098,60010950300,0.001457281,0.215401547
6098,60010950200,0.000503201,0.111588771
6098,60050951201,0.000289488,0.166901797
1198,11001009508,9.69E-05,0.987789549
6098,60020951800,0.004919296,0.112572527
1198,11001007504,8.27E-05,1
6098,60050951300,0.000576664,0.200349495
6098,60050951203,0.000602561,0.184945438
1198,11001000202,0.000127904,1
6098,60050951202,0.000206563,1
6098,60050951100,0.00040869,1
1198,11001002301,4.29E-05,1
1198,11001001600,0.000270999,0.970286874
1198,11001009807,0.000107747,1
1198,11001009201,6.66E-05,1
1198,11001002600,0.000230302,1
1198,11001010300,0.000110846,0.987001638
1198,11001001001,0.00025471,0.998682287
1198,11001003600,3.17E-05,1
1198,11001007707,8.73E-05,1
1198,11001009903,3.90E-05,1
1198,11001008804,8.18E-05,1
1198,11001005900,6.69E-05,1
1198,11001004802,2.99E-05,1
6698,66010980400,0.000370438,1
1198,11001007301,0.001008654,0.984471602
7898,78010971100,0.000878075,0.807829256
1198,11001003700,3.04E-05,1
1198,11001002900,3.14E-05,1
1198,11001007000,4.36E-05,1
1198,11001002001,6.58E-05,1
6998,69110001600,0.000706058,0.987498383
6998,69110000700,0.000477328,0.999386018
6698,66010950900,0.000160525,1
1198,11001007807,5.44E-05,0.9999978
1198,11001007901,4.14E-05,1
6698,66010951901,9.48E-05,1
1198,11001001902,9.23E-05,1
1198,11001010600,0.000128425,1
7898,78010970500,0.000516515,1
1198,11001009801,4.65E-05,1
6998,69110001400,0.000426491,0.994452883
6998,69110001700,0.00199927,0.997560269
1198,11001008001,3.38E-05,1
6998,69110000600,0.000259636,0.999940572
6998,69110001000,0.000272709,1
6698,66010956000,0.000186498,1
6698,66010950801,0.000293542,1
6698,66010950802,0.000423713,1
6998,69110000900,0.000128492,0.998923727
1198,11001009400,0.000164714,0.996699285
1198,11001009302,4.19E-05,1
1198,11001009504,0.000106636,1
1198,11001008100,3.03E-05,1
6698,66010953102,0.000436274,1
7898,78030960600,0.000271768,1
7898,78030960300,0.000151598,1
1198,11001002802,2.39E-05,1
1198,11001009810,4.28E-05,1
6698,66010953600,0.000179998,1
1198,11001009505,0.000104157,0.962996899
6998,69120950102,0.000584272,0.992095737
7898,78020950200,0.000638828,0.790599501
1198,11001009509,6.65E-05,1
6698,66010954000,0.001250818,0.996614148
7898,78010970200,0.000455343,0.979471875
7898,78010970700,0.001342058,0.991080591
6998,69110001500,0.001077749,0.994681529
6698,66010980300,0.000456252,1
6698,66010950502,0.000823131,1
1198,11001007808,9.86E-05,0.998678686
6998,69110000800,0.00016935,0.997945581
6698,66010950200,0.002421391,0.998647535
6698,66010950702,0.000748573,1
1198,11001008410,2.29E-05,1
7898,78010970100,0.002422658,0.901082291
7898,78030961000,0.000186426,0.488678493
6698,66010950402,0.000495865,1
6998,69120950101,0.00051811,0.997892145
1198,11001001702,9.46E-05,0.971413855
1198,11001000400,0.000159217,1
6998,69110000500,0.000416333,1
6998,69110000200,0.000195958,0.996468575
6998,69110000300,0.000378127,0.969053262
6998,69110001200,8.90E-05,0.995116439
6998,69110000400,0.000104397,0.993601493
6698,66010951000,0.000114761,1
1198,11001001804,6.25E-05,1
6698,66010955600,8.10E-05,1
7898,78030960800,0.00068728,0.710180948
6698,66010955900,0.000147642,0.984222415
6698,66010952900,0.000533053,0.998654091
1198,11001004701,3.34E-05,1
7898,78030960900,0.000673805,0.704400128
6698,66010955800,0.000790617,1
7898,78030960200,0.000600987,1
6698,66010953400,0.000211268,0.975782435
7898,78010970600,0.00112279,0.934772905
