district,boundary ,member
101,73,114
102,106,125
103,106,104
104,140,91
105,68,110
106,160,75
107,197,101
200,75,92
401,150,110
402,82,133
403,157,82
404,148,76
405,86,122
406,87,138
407,108,121
408,89,118
409,148,101
501,100,128
502,74,135
503,82,90
504,106,122
601,75,133
602,106,86
603,126,113
604,115,113
605,85,125
606,95,102
607,98,107
608,102,89
609,64,114
610,48,101
611,87,107
612,58,136
613,70,151
614,92,103
615,71,117
616,86,98
617,92,93
618,124,95
619,84,112
620,80,97
621,122,69
622,91,96
623,124,74
624,72,101
625,93,110
626,73,110
627,141,104
628,134,121
629,87,135
630,114,119
631,112,74
632,108,101
633,215,59
634,120,142
635,99,82
636,53,143
637,127,119
638,122,97
639,120,85
640,133,92
641,71,109
642,105,85
643,117,101
644,125,102
645,83,95
646,85,80
647,125,99
648,115,90
649,112,63
650,110,77
651,108,85
652,124,94
653,136,81
801,140,111
802,109,130
803,71,150
804,117,137
805,48,138
806,127,111
807,107,124
901,126,117
902,80,103
903,112,88
904,81,111
905,143,98
1000,55,163
1198,41,138
1201,46,117
1202,68,116
1203,89,87
1204,124,63
1205,243,46
1206,111,89
1207,92,94
1208,62,103
1209,94,68
1210,153,71
1211,81,103
1212,118,128
1213,85,126
1214,153,107
1215,116,116
1216,70,125
1217,156,114
1218,87,101
1219,104,118
1220,217,64
1221,118,97
1222,210,79
1223,122,83
1224,112,100
1225,120,69
1226,85,84
1227,104,96
1301,89,102
1302,127,126
1303,109,66
1304,101,72
1305,99,139
1306,118,76
1307,104,62
1308,142,88
1309,92,90
1310,119,90
1311,124,52
1312,101,96
1313,135,48
1314,80,72
1501,73,123
1502,167,39
1601,72,87
1602,52,124
1701,202,102
1702,98,125
1703,185,77
1704,219,79
1705,194,108
1706,194,60
1707,215,126
1708,145,79
1709,146,83
1710,112,87
1711,132,84
1712,85,124
1713,141,109
1714,169,33
1715,132,121
1716,142,100
1717,143,121
1718,166,99
1801,57,121
1802,77,133
1803,56,145
1804,89,115
1805,90,110
1806,94,111
1807,69,142
1808,72,124
1809,85,106
1901,85,151
1902,102,132
1903,59,161
1904,88,170
2001,72,154
2002,81,128
2003,39,174
2004,47,158
2101,132,105
2102,140,104
2103,48,157
2104,113,98
2105,98,129
2106,74,155
2201,190,107
2202,230,155
2203,59,133
2204,95,129
2205,118,118
2206,158,74
2301,116,70
2302,107,127
2401,166,73
2402,238,71
2403,332,33
2404,177,79
2405,130,83
2406,135,80
2407,192,121
2408,186,81
2501,76,125
2502,100,108
2503,104,95
2504,159,67
2505,176,74
2506,113,78
2507,196,94
2508,177,79
2509,140,65
2601,182,91
2602,126,90
2603,128,97
2604,145,119
2605,118,147
2606,73,125
2607,139,105
2608,146,141
2609,170,123
2610,135,92
2611,191,102
2612,123,138
2613,210,167
2614,250,112
2701,66,124
2702,77,104
2703,123,87
2704,78,132
2705,99,154
2706,119,67
2707,113,128
2708,97,125
2801,75,106
2802,110,133
2803,112,95
2804,72,95
2901,71,150
2902,124,92
2903,146,75
2904,113,106
2905,102,161
2906,129,117
2907,46,120
2908,88,113
3000,47,224
3101,90,109
3102,46,155
3103,82,131
3201,86,133
3202,29,157
3203,64,132
3204,92,123
3301,102,83
3302,113,71
3401,82,129
3402,135,98
3403,131,109
3404,154,76
3405,123,82
3406,158,75
3407,168,66
3408,163,99
3409,122,88
3410,172,118
3411,147,83
3412,151,78
3501,63,131
3502,64,124
3503,79,124
3601,80,99
3602,85,108
3603,142,89
3604,87,104
3605,118,169
3606,128,153
3607,215,89
3608,174,148
3609,135,141
3610,220,58
3611,134,107
3612,130,104
3613,100,76
3614,140,127
3615,67,134
3616,87,136
3617,83,100
3618,94,103
3619,139,132
3620,66,150
3621,98,118
3622,88,149
3623,98,123
3624,73,163
3625,51,153
3626,76,148
3627,147,100
3701,238,55
3702,197,67
3703,217,49
3704,224,51
3705,171,85
3706,205,65
3707,175,58
3708,131,90
3709,195,79
3710,119,119
3711,105,112
3712,292,61
3713,229,40
3800,55,150
3901,161,98
3902,146,87
3903,143,112
3904,171,107
3905,131,90
3906,164,67
3907,201,72
3908,112,114
3909,193,111
3910,63,162
3911,181,201
3912,167,78
3913,171,107
3914,151,89
3915,188,70
3916,213,76
4001,79,171
4002,95,137
4003,130,137
4004,95,142
4005,96,197
4101,94,103
4102,69,114
4103,84,132
4104,65,135
4105,131,92
4201,209,80
4202,140,128
4203,133,106
4204,89,101
4205,128,108
4206,182,68
4207,301,43
4208,106,105
4209,146,94
4210,163,79
4211,182,103
4212,208,105
4213,188,79
4214,147,193
4215,128,99
4216,126,91
4217,177,86
4218,165,113
4401,92,55
4402,83,61
4501,134,61
4502,124,84
4503,85,103
4504,62,129
4505,103,90
4506,237,76
4507,86,95
4600,52,170
4701,75,106
4702,97,122
4703,113,103
4704,126,74
4705,81,138
4706,106,112
4707,124,95
4708,101,119
4709,68,142
4801,71,109
4802,188,36
4803,64,111
4804,90,98
4805,157,66
4806,140,72
4807,140,71
4808,94,64
4809,125,70
4810,202,40
4811,110,117
4812,129,73
4813,70,153
4814,112,105
4815,147,54
4816,46,103
4817,106,108
4818,196,61
4819,67,156
4820,115,80
4821,233,49
4822,121,39
4823,200,54
4824,123,106
4825,211,63
4826,78,99
4827,128,94
4828,142,70
4829,155,63
4830,139,86
4831,74,114
4832,155,82
4833,200,59
4834,115,85
4835,232,46
4836,140,77
4901,47,117
4902,86,100
4903,103,111
4904,118,83
5000,54,130
5101,189,60
5102,159,88
5103,228,105
5104,153,93
5105,147,103
5106,107,104
5107,138,93
5108,87,136
5109,93,104
5110,159,73
5111,170,77
5301,134,79
5302,142,49
5303,55,127
5304,51,108
5305,39,128
5306,138,56
5307,104,83
5308,138,66
5309,119,79
5310,104,80
5401,101,100
5402,113,78
5403,92,95
5501,89,98
5502,61,130
5503,114,91
5504,117,170
5505,154,98
5506,145,84
5507,105,124
5508,100,110
5600,27,105
6098,16,2
6698,29,28
6998,23,2
7298,198,747
7898,27,5
