,id,CENTROID_XCOORDINATES,CENTROID_YCOORDINATES,vertices
0,0,-1.25,0.75,"set([0, 1, 5, 6])"
1,1,-0.75,0.75,"set([0, 1, 2, 5, 6, 7])"
2,2,-0.25,0.75,"set([1, 2, 3, 6, 7, 8])"
3,3,0.25,0.75,"set([2, 3, 4, 7, 8, 9])"
4,4,0.75,0.75,"set([8, 9, 3, 4])"
5,5,-1.25,0.25,"set([0, 1, 5, 6, 10, 11])"
6,6,-0.75,0.25,"set([0, 1, 2, 5, 6, 7, 10, 11, 12])"
7,7,-0.25,0.25,"set([1, 2, 3, 6, 7, 8, 11, 12, 13])"
8,8,0.25,0.25,"set([2, 3, 4, 7, 8, 9, 12, 13])"
9,9,0.75,0.25,"set([3, 4, 8, 9, 13])"
10,10,-1.25,-0.25,"set([16, 20, 5, 6, 10, 11])"
11,11,-0.75,-0.25,"set([5, 6, 7, 10, 11, 12, 16, 17, 20])"
12,12,-0.25,-0.25,"set([6, 7, 8, 11, 12, 13, 16, 17, 18])"
13,13,0.25,-0.25,"set([17, 18, 19, 7, 8, 9, 12, 13])"
14,19,0.75,-0.25,"set([18, 19, 23, 24, 13])"
15,19,0.75,-0.75,"set([18, 19, 23, 24, 13])"
16,20,-1.25,-0.75,"set([16, 20, 21, 10, 11, 15])"
17,16,-0.75,-0.75,"set([10, 11, 12, 15, 16, 17, 20, 21, 22])"
18,17,-0.25,-0.75,"set([11, 12, 13, 16, 17, 18, 21, 22, 23])"
19,18,0.25,-0.75,"set([12, 13, 17, 18, 19, 22, 23, 24])"
20,15,-1.25,-1.25,"set([16, 20, 21, 15])"
21,21,-0.75,-1.25,"set([15, 16, 17, 20, 21, 22])"
22,22,-0.25,-1.25,"set([16, 17, 18, 21, 22, 23])"
23,23,0.25,-1.25,"set([17, 18, 19, 22, 23, 24])"
24,24,0.75,-1.25,"set([24, 18, 19, 23])"
